		Hu IL-6 (19)	Hu IL-8 (54)	Hu MCP-1(MCAF) (53)	Hu MIP-1a (55)	Hu RANTES (37)
Type	Well	FI - Bkgd	FI - Bkgd	FI - Bkgd	FI - Bkgd	FI - Bkgd
eS1	A1	17048.0	24949.5	14227.5	23176.0	5384.0
eS2	B1	6755.0	17762.0	***	12783.0	5904.0
eS3	C1	2470.0	9325.0	6642.0	3651.0	5263.5
eS4	D1	696.0	3617.0	2002.0	792.5	2363.5
eS5	E1	161.0	1070.5	440.5	91.5	728.5
eS6	F1	49.0	291.0	***	23.0	156.0
eS7	G1	25.0	73.5	30.0	19.5	28.5
eS8	H1	23.0	24.5	28.5	16.5	13.0
X1	A1	228.0	4889.5	16.0	***	21.5
X2	A2	154.5	7604.0	***	54.0	307.5
X3	A3	195.0	5001.0	3628.0	17.0	13.0
X4	A4	220.0	5543.0	3098.5	19.0	16.5
X5	A5	210.0	5777.0	2984.5	18.5	16.5
X6	A6	225.5	5228.0	***	15.0	17.0
X7	A7	424.0	6525.0	***	15.0	14.5
X8	A8	131.0	4587.0	1356.0	17.0	11.0
X9	A9	197.0	7619.0	***	20.0	13.5
X10	A10	238.0	8160.0	6045.0	22.0	18.0
X11	A11	57.0	2041.0	1301.0	15.0	0.0
X12	A12	90.0	2441.5	1183.0	21.0	12.0
X13	B1	51.0	2408.0	***	15.0	14.5
X14	B2	52.0	2454.5	1582.0	16.0	15.0
X15	B3	66.5	2392.0	***	12.0	11.5
X16	B4	99.0	2335.5	1696.0	22.0	9.0
X17	B5	62.5	2901.0	2211.0	13.0	13.5
X18	B6	57.0	3201.5	1477.0	30.0	36.0
X19	B7	42.0	2223.5	***	31.0	10.5
X20	B8	26.0	2373.0	368.0	22.5	11.0
X21	B9	43.0	2182.5	307.5	13.0	13.0
X22	B10	40.0	1520.0	291.0	38.0	16.0
X23	B11	148.0	3714.0	33.0	18.0	31.0
X24	B12	74.5	3110.5	1052.0	12.0	23.5
X25	C1	88.5	3007.0	1246.5	29.0	16.5
X26	C2	328.5	6828.0	1465.0	***	14.0
		Hu IL-6 (19)	Hu IL-8 (54)	Hu MCP-1(MCAF) (53)	Hu MIP-1a (55)	Hu RANTES (37)
Type	Well	Obs Conc	Obs Conc	Obs Conc	Obs Conc	Obs Conc
eS1	A1	8189.64	16998.17	7147.72	722.34	8249.44
eS2	B1	1892.52	4393.56	***	207.16	OOR >
eS3	C1	513.58	1069.76	504.89	43.99	6712.46
eS4	D1	127.70	270.51	113.14	12.43	833.39
eS5	E1	30.09	66.67	31.07	2.89	239.77
eS6	F1	8.12	17.26	***	0.74	63.51
eS7	G1	1.66	4.13	1.43	0.45	13.09
eS8	H1	0.76	1.06	1.06	OOR <	4.06
X1	A1	42.28	401.27	OOR <	***	9.34
X2	A2	28.89	763.73	***	1.96	112.86
X3	A3	36.30	413.79	213.76	OOR <	4.06
X4	A4	40.83	477.28	178.16	0.39	6.38
X5	A5	39.02	506.10	170.89	0.31	6.38
X6	A6	41.83	439.84	***	OOR <	6.69
X7	A7	77.57	604.26	***	OOR <	5.09
X8	A8	24.52	368.20	78.75	OOR <	*2.56
X9	A9	36.67	766.11	***	0.50	4.41
X10	A10	44.08	855.10	431.10	0.67	7.30
X11	A11	9.89	136.15	75.91	OOR <	OOR <
X12	A12	16.67	167.65	69.83	0.59	*3.33
X13	B1	8.57	164.95	***	OOR <	5.09
X14	B2	8.79	168.71	90.55	OOR <	5.42
X15	B3	11.91	163.67	***	OOR <	*2.95
X16	B4	18.43	159.15	96.59	0.67	*0.70
X17	B5	11.07	205.96	124.78	OOR <	4.41
X18	B6	9.89	232.31	85.05	1.12	16.81
X19	B7	6.48	150.30	***	1.16	*2.14
X20	B8	2.04	162.14	26.98	0.70	*2.56
X21	B9	6.72	147.09	23.44	OOR <	4.06
X22	B10	5.99	97.68	22.45	1.45	6.07
X23	B11	27.69	279.73	2.04	0.21	14.36
X24	B12	13.57	224.22	63.11	OOR <	10.45
X25	C1	16.37	215.13	73.10	1.07	6.38
X26	C2	60.35	646.81	84.42	***	4.76
